institution_id,highpass_unique,lowpass_unique,highpass_mode,lowpass_mode
H1,[0.0],[125.5],0.0,125.5
H10,"[0.0, 0.16]","[47.0, 124.99375031248437, 125.0, 125.5]",0.0,125.0
H11,"[0.0, 0.16]","[71.0, 125.0]",0.0,125.0
H12,"[0.0, 0.16]","[97.0, 104.0, 125.0, 125.5]",0.0,125.0
H13,"[0.0, 0.16]","[47.0, 97.0, 124.99375031248437]",0.16,47.0
H14,[0.0],[125.0],0.0,125.0
H15,[0.0],[125.0],0.0,125.0
H16,[0.16],[97.0],0.16,97.0
H17,[0.0],[125.0],0.0,125.0
H18,[0.0],[125.0],0.0,125.0
H19,[0.0],[125.0],0.0,125.0
H2,"[0.0, 0.16, 0.18]","[104.0, 125.0]",0.16,104.0
H20,"[0.0, 0.16]","[97.0, 125.0]",0.16,97.0
H21,"[0.0, 0.16]","[97.0, 125.0]",0.0,125.0
H22,[0.0],[125.0],0.0,125.0
H23,[0.0],[125.0],0.0,125.0
H24,[0.0],"[125.0, 150.0]",0.0,150.0
H25,[0.0],[125.0],0.0,125.0
H26,"[0.0, 0.16]","[47.0, 97.0, 125.0]",0.16,125.0
H27,[0.0],"[125.0, 300.0]",0.0,125.0
H28,[0.0],[125.0],0.0,125.0
H29,"[0.0, 0.16]","[47.0, 104.0, 125.0]",0.16,125.0
H3,[0.0],[125.0],0.0,125.0
H30,"[0.0, 0.16]","[97.0, 124.99375031248437, 125.0]",0.16,97.0
H4,"[0.0, 0.18, 0.19]","[104.0, 125.0]",0.0,125.0
H5,[0.0],[125.0],0.0,125.0
H6,[0.0],[125.0],0.0,125.0
H7,"[0.0, 0.16]","[125.0, 1500.0]",0.0,125.0
H8,"[0.0, 0.16]","[97.0, 124.99375031248437]",0.0,124.99375031248437
H9,[0.16],"[104.0, 1500.0]",0.16,104.0
