institution_id,mean,median,std,min,max,count
H1,46.06,45.92,15.44,18.0,70.0,318
H10,37.71,35.79,15.42,16.0,70.0,6222
H11,45.64,46.62,15.63,18.0,70.0,166
H12,29.37,22.42,14.69,16.0,69.92,232
H13,44.7,44.08,16.63,18.17,69.92,110
H14,41.5,41.33,15.48,16.0,69.92,2445
H15,34.93,33.33,12.48,16.01,69.83,2289
H16,45.56,46.5,14.78,16.02,70.0,2553
H17,44.19,45.42,14.54,16.25,70.0,889
H18,42.79,42.96,16.58,16.07,69.92,488
H19,48.62,52.05,15.39,18.67,69.42,101
H2,48.12,49.17,13.72,18.42,69.92,691
H20,43.53,43.92,14.23,16.25,70.0,363
H21,28.42,19.54,15.07,16.0,66.25,90
H22,45.47,46.0,15.11,16.0,70.0,1271
H23,44.21,46.5,15.54,16.42,69.75,86
H24,42.28,43.33,15.44,16.0,70.0,783
H25,38.16,37.25,14.95,16.05,70.0,983
H26,41.03,41.0,15.95,16.0,70.0,704
H27,41.25,40.92,13.84,16.0,70.0,307
H28,46.2,48.15,15.57,17.25,69.92,410
H29,26.29,17.75,14.98,16.0,69.83,677
H3,46.3,47.92,14.68,18.0,70.0,473
H30,20.26,17.62,8.25,16.0,68.33,96
H4,26.12,21.67,10.75,16.01,69.67,237
H5,37.64,36.05,13.34,16.04,70.0,315
H6,39.04,36.92,12.6,16.08,69.67,1148
H7,47.62,50.75,16.48,16.04,69.92,752
H8,43.52,43.58,16.04,16.0,70.0,1033
H9,34.97,32.29,13.35,16.04,69.08,336
