institution_id,n_recordings,raw_amp_median_uv,raw_amp_mean_uv,rejection_rate_mean,rejection_rate_median,pct_rejected_amplitude,pct_rejected_flat
H1,318,3.91,4.16,0.0153,0.0013,0.09,1.4
H2,691,212.25,373.05,0.0062,0.0019,0.24,0.37
H3,473,115.38,178.08,0.0202,0.0044,0.7,1.43
H4,237,15.74,46.64,0.0097,0.005,0.2,0.76
H5,315,117.71,164.16,0.0281,0.002,0.38,2.53
H6,1148,66.19,101.84,0.0094,0.002,0.08,0.87
H7,752,45.56,84.94,0.0129,0.0046,0.74,0.49
H8,1033,412.37,694.72,0.0221,0.0047,1.01,1.03
H9,336,43.91,96.98,0.0245,0.0021,0.16,2.29
H10,6222,339.18,398.65,0.0128,0.0057,0.53,0.87
H11,166,46.87,98.76,0.0297,0.0046,0.41,2.49
H12,232,50.47,113.5,0.0203,0.0032,0.34,1.87
H13,110,579.64,749.35,0.0192,0.004,0.58,1.4
H14,2445,4.17,4.51,0.0263,0.0053,0.24,2.39
H15,2289,97.32,205.31,0.0257,0.002,0.7,2.4
H16,2553,366.06,501.5,0.0213,0.002,0.33,1.92
H17,889,30.59,46.33,0.0166,0.0052,0.13,1.53
H18,488,1610.64,1476.21,0.0113,0.0034,0.17,0.94
H19,101,417.35,456.86,0.0076,0.002,0.2,0.54
H20,363,32.22,185.14,0.0125,0.002,1.08,0.18
H21,90,108.86,351.83,0.0112,0.0059,0.91,0.23
H22,1271,33.99,43.78,0.0818,0.004,0.19,7.99
H23,86,805.63,855.28,0.0226,0.0103,2.31,0.17
H24,783,138.64,177.36,0.0059,0.0028,0.17,0.39
H25,983,44.1,53.92,0.0202,0.0023,0.11,2.05
H26,704,392.65,715.66,0.0065,0.002,0.08,0.54
H27,307,300.18,608.1,0.0098,0.0,0.38,0.55
H28,410,25.58,29.2,0.0045,0.002,0.07,0.35
H29,677,67.29,228.5,0.0162,0.004,0.63,0.94
H30,96,63.17,283.93,0.0392,0.0061,0.5,3.24
