accuracy,precision,recall,f1-score,auc,mcc,hospital,model,method,n_calib,n_test,tag
0.6997690531177829,0.5303643724696356,0.903448275862069,0.6683673469387755,0.870713601532567,0.47733941627592635,H1,catboost,raw,30,433,oldlabels
0.6743207041714504,0.5712858094603598,0.8051643192488263,0.6683554169914263,0.7952314663172836,0.38706848403414795,H10,catboost,raw,30,10452,oldlabels
0.7707182320441989,0.7894736842105263,0.8628318584070797,0.8245243128964059,0.8525182196772514,0.49980501917880515,H11,catboost,raw,30,362,oldlabels
0.8104,0.928194297782471,0.8387404580152672,0.881203007518797,0.8584904769102865,0.4312768240919,H12,catboost,raw,30,1250,oldlabels
0.7425742574257426,0.7669172932330827,0.8292682926829268,0.796875,0.8326644025933931,0.4495326364520101,H13,catboost,raw,30,202,oldlabels
0.691724573594441,0.41496598639455784,0.7310252996005326,0.5294117647058824,0.784014688489881,0.35406186972534104,H14,catboost,raw,30,3166,oldlabels
0.7841984982043748,0.589937106918239,0.5833333333333334,0.5866166353971232,0.8031076357918244,0.44062286359721,H15,catboost,raw,30,3063,oldlabels
0.6142557651991615,0.3746014877789586,0.8639705882352942,0.5226093402520385,0.8087181265688995,0.3443976969974652,H16,catboost,raw,30,3339,oldlabels
0.7465233881163085,0.6985294117647058,0.7862068965517242,0.7397793640493187,0.8420086106305074,0.49766706900575447,H17,catboost,raw,30,1582,oldlabels
0.7639639639639639,0.873341375150784,0.8217934165720772,0.8467836257309942,0.7848366038989041,0.33807614435066785,H18,catboost,raw,30,2220,oldlabels
0.7462121212121212,0.8795180722891566,0.7564766839378239,0.8133704735376045,0.7977085309786179,0.4357517583108547,H19,catboost,raw,30,264,oldlabels
0.7595628415300546,0.6415711947626841,0.897025171624714,0.7480916030534351,0.8934663172434804,0.5573775064565477,H2,catboost,raw,30,1098,oldlabels
0.7400950871632329,0.7310344827586207,0.7114093959731543,0.7210884353741497,0.8081907410766472,0.47800439498465597,H20,catboost,raw,30,631,oldlabels
0.7071428571428572,0.7468354430379747,0.7375,0.7421383647798742,0.7802083333333334,0.4033691204082017,H21,catboost,raw,30,140,oldlabels
0.6766602192134107,0.765142150803461,0.6652337452982268,0.7116987640126473,0.7397961724199298,0.35211334442735165,H22,catboost,raw,30,3102,oldlabels
0.49849397590361444,0.9692832764505119,0.46710526315789475,0.6304106548279689,0.7434797932330827,0.17147507846702542,H23,catboost,raw,30,664,oldlabels
0.6106227106227107,0.8864197530864197,0.537962037962038,0.6695679204227541,0.737956411720148,0.3100155011625969,H24,catboost,raw,30,2730,oldlabels
0.5781044317683195,0.9482942430703625,0.49348127600554786,0.6491516146688561,0.7694932274604032,0.3236711636941819,H25,catboost,raw,30,4558,oldlabels
0.6822250639386189,0.7919762258543833,0.5988764044943821,0.6820217530390275,0.7486546860934218,0.39123204167002185,H26,catboost,raw,30,1564,oldlabels
