institution_id,mode,unique_values,n_unique
H1,250.0,"[249.9875006249688, 250.0, 251.0]",3
H10,250.0,[250.0],1
H11,249.9875006249688,[249.9875006249688],1
H12,250.0,[250.0],1
H13,250.0,"[249.9955834113597, 249.9963000547592, 250.0]",3
H14,250.0,"[249.9786518231343, 249.9875006249688, 250.0, 251.0, 255.99620272299293]",5
H15,249.9875006249688,"[249.9875006249688, 250.0]",2
H16,250.0,[250.0],1
H17,256.0,"[250.0, 256.0, 256.00486409241773, 256.0073388770478, 256.00861895683823]",5
H18,250.0,"[249.9875006249688, 250.0, 256.0]",3
H19,250.0,"[250.0, 255.99943680123903]",2
H2,250.0,[250.0],1
H20,250.0,[250.0],1
H21,250.00280003136035,"[250.0, 250.00280003136035]",2
H22,250.0,[250.0],1
H23,250.0,"[250.0, 255.99799468237487, 256.0]",3
H24,256.0,"[255.9962880538232, 256.0]",2
H25,251.0,[251.0],1
H26,250.0,[250.0],1
H27,250.0,[250.0],1
H28,250.0,[250.0],1
H29,249.9875006249688,[249.9875006249688],1
H3,249.9875006249688,[249.9875006249688],1
H30,250.0,"[249.9875006249688, 250.0]",2
H4,250.0,[250.0],1
H5,250.0,[250.0],1
H6,300.0,"[250.0, 300.0]",2
H7,250.0,[250.0],1
H8,250.0,"[250.0, 600.0]",2
H9,250.0,[250.0],1
