hospital,auc,mcc,fit_secs,condition,group,seed,n_features,model,task
H1,0.7514001026225651,0.354502577990933,132.65,full_coh,coh,42,2394,catboost,patho
H2,0.7396779032130734,0.35169847856662767,43.32,full_coh,coh,42,2394,catboost,patho
H3,0.7126260795757283,0.23101403906848417,57.12,full_coh,coh,42,2394,catboost,patho
H4,0.7191918408456816,0.30950527464104655,50.99,full_coh,coh,42,2394,catboost,patho
H5,0.6973501252684323,0.29810298114784545,52.33,full_coh,coh,42,2394,catboost,patho
H6,0.6925083984511929,0.2645637487251715,50.77,full_coh,coh,42,2394,catboost,patho
H7,0.8151042053112802,0.47728970322247216,48.15,full_coh,coh,42,2394,catboost,patho
H8,0.7117027381537957,0.10523687565588988,49.46,full_coh,coh,42,2394,catboost,patho
H9,0.7183215374728825,0.2789593782340885,54.4,full_coh,coh,42,2394,catboost,patho
H10,0.7462691866670287,0.33461167887808346,64.26,full_coh,coh,42,2394,catboost,patho
H11,0.7660988212621078,0.4088768647855633,71.47,full_coh,coh,42,2394,catboost,patho
H12,0.7631079917196779,0.3651285830763495,51.31,full_coh,coh,42,2394,catboost,patho
H13,0.7713017662154683,0.36802836179820375,50.76,full_coh,coh,42,2394,catboost,patho
H14,0.8009371020797962,0.3994337962421929,55.31,full_coh,coh,42,2394,catboost,patho
H15,0.6421855400605045,0.18278861989402415,50.64,full_coh,coh,42,2394,catboost,patho
H16,0.7968527715268617,0.42093883052174114,43.7,full_coh,coh,42,2394,catboost,patho
H17,0.810909320123398,0.46222598604938975,66.73,full_coh,coh,42,2394,catboost,patho
H18,0.7640757566164367,0.4289446234254537,63.21,full_coh,coh,42,2394,catboost,patho
H19,0.8083352673516608,0.35213554918919443,46.05,full_coh,coh,42,2394,catboost,patho
H20,0.6793975255513717,0.16659405513299846,58.11,full_coh,coh,42,2394,catboost,patho
H21,0.7201166501595686,0.3448445785286378,55.08,full_coh,coh,42,2394,catboost,patho
H22,0.8254484645788995,0.4531714656529891,52.47,full_coh,coh,42,2394,catboost,patho
H23,0.7407800214944283,0.36270914695378514,43.21,full_coh,coh,42,2394,catboost,patho
H24,0.7996363636363636,0.38376645040070795,43.06,full_coh,coh,42,2394,catboost,patho
H25,0.8128950695322376,0.40631969413417457,38.68,full_coh,coh,42,2394,catboost,patho
H26,0.8462535043751593,0.4670017401953251,41.06,full_coh,coh,42,2394,catboost,patho
H27,0.8040765042579925,0.4642163441483325,47.28,full_coh,coh,42,2394,catboost,patho
H28,0.7151927437641724,0.31408132381178366,57.23,full_coh,coh,42,2394,catboost,patho
H29,0.760660046728972,0.3799553103258393,49.35,full_coh,coh,42,2394,catboost,patho
H30,0.723030303030303,0.3407375211494024,53.7,full_coh,coh,42,2394,catboost,patho
H1,0.7707258491911889,0.3915536344699701,42.83,full_pow,pow,42,266,catboost,patho
H2,0.7617858263836688,0.39923234349487824,24.47,full_pow,pow,42,266,catboost,patho
H3,0.7552499597288824,0.288461294315516,21.49,full_pow,pow,42,266,catboost,patho
H4,0.7111225019727923,0.24612851338473296,11.94,full_pow,pow,42,266,catboost,patho
H5,0.729899785254116,0.3219188120750735,9.48,full_pow,pow,42,266,catboost,patho
H6,0.7112379605081894,0.2898839190155782,8.64,full_pow,pow,42,266,catboost,patho
H7,0.8100985132909206,0.4566473403502293,8.47,full_pow,pow,42,266,catboost,patho
H8,0.7325360714871291,0.11947991589023314,9.48,full_pow,pow,42,266,catboost,patho
H9,0.7210936725020594,0.29082047667460986,21.61,full_pow,pow,42,266,catboost,patho
H10,0.7734265836506307,0.3974595035835515,13.22,full_pow,pow,42,266,catboost,patho
