hospital,auc,mcc,fit_secs,condition,group,seed,n_features,model,task
H1,0.7570576193039998,0.3711309552889986,84.94,full_coh,coh,42,2394,logreg,patho
H2,0.7160618198834585,0.3214472650873607,84.67,full_coh,coh,42,2394,logreg,patho
H3,0.6983832695191009,0.2294120484163901,82.13,full_coh,coh,42,2394,logreg,patho
H4,0.7458144203812492,0.3249914321100563,87.11,full_coh,coh,42,2394,logreg,patho
H5,0.6737034717251253,0.24872762844219085,82.44,full_coh,coh,42,2394,logreg,patho
H6,0.7125342893032557,0.27848144021631077,88.33,full_coh,coh,42,2394,logreg,patho
H7,0.8278916417397867,0.4894305075269346,82.76,full_coh,coh,42,2394,logreg,patho
H8,0.7121679783571077,0.14150795028169438,85.15,full_coh,coh,42,2394,logreg,patho
H9,0.7129142029060516,0.28580989404824825,87.9,full_coh,coh,42,2394,logreg,patho
H10,0.756289383708277,0.3420849165363214,86.17,full_coh,coh,42,2394,logreg,patho
H11,0.7800710810509994,0.4256783735837547,89.72,full_coh,coh,42,2394,logreg,patho
H12,0.7515865580755807,0.3356915652649029,90.75,full_coh,coh,42,2394,logreg,patho
H13,0.777251547325517,0.4042299499842228,90.81,full_coh,coh,42,2394,logreg,patho
H14,0.7923353936757216,0.3939051335711413,89.54,full_coh,coh,42,2394,logreg,patho
H15,0.636920384951881,0.16935455029396443,71.58,full_coh,coh,42,2394,logreg,patho
H16,0.7664733193657691,0.3793913179526487,93.01,full_coh,coh,42,2394,logreg,patho
H17,0.81671956573327,0.45013935603975747,89.13,full_coh,coh,42,2394,logreg,patho
H18,0.7161105483094845,0.348416330709803,90.03,full_coh,coh,42,2394,logreg,patho
H19,0.8002475543459151,0.35044434422202964,88.9,full_coh,coh,42,2394,logreg,patho
H20,0.678332225843538,0.16557092274450932,84.38,full_coh,coh,42,2394,logreg,patho
H21,0.7165731264443711,0.31515940133717374,89.35,full_coh,coh,42,2394,logreg,patho
H22,0.761112800243235,0.34278745104671193,85.75,full_coh,coh,42,2394,logreg,patho
H23,0.7392245036483965,0.3430377175062618,85.29,full_coh,coh,42,2394,logreg,patho
H24,0.78408658008658,0.3945751615823211,84.3,full_coh,coh,42,2394,logreg,patho
H25,0.8057142857142858,0.4251492702668628,85.8,full_coh,coh,42,2394,logreg,patho
H26,0.8571489253249512,0.4889022777412497,90.03,full_coh,coh,42,2394,logreg,patho
H27,0.8148261901437944,0.4324950636514053,80.91,full_coh,coh,42,2394,logreg,patho
H28,0.710002519526329,0.33121462172608657,91.8,full_coh,coh,42,2394,logreg,patho
H29,0.7801547897196263,0.4578313975454523,92.05,full_coh,coh,42,2394,logreg,patho
H30,0.7425757575757576,0.407529246288026,88.91,full_coh,coh,42,2394,logreg,patho
H1,0.7364464987688453,0.350227827093655,13.42,full_pow,pow,42,266,logreg,patho
H2,0.7493679609499218,0.39868542406248203,12.15,full_pow,pow,42,266,logreg,patho
H3,0.7274822497304932,0.2710306160893356,14.99,full_pow,pow,42,266,logreg,patho
H4,0.6825726560866546,0.2491044902479022,12.81,full_pow,pow,42,266,logreg,patho
H5,0.6706688439513243,0.2704550181031366,12.43,full_pow,pow,42,266,logreg,patho
H6,0.6759329838648817,0.2540781466657035,11.81,full_pow,pow,42,266,logreg,patho
H7,0.7618308166194275,0.36770489894950364,14.26,full_pow,pow,42,266,logreg,patho
H8,0.6960649286768322,0.09358797887051318,11.82,full_pow,pow,42,266,logreg,patho
H9,0.7059401969283321,0.25780529925747553,13.55,full_pow,pow,42,266,logreg,patho
H10,0.7260178410678741,0.34227750627330195,12.21,full_pow,pow,42,266,logreg,patho
H11,0.7064300754264177,0.345104428172108,10.84,full_pow,pow,42,266,logreg,patho
H12,0.8015442498602318,0.4239210643633488,11.18,full_pow,pow,42,266,logreg,patho
H13,0.7294620842348916,0.3296025535848796,13.66,full_pow,pow,42,266,logreg,patho
H14,0.7665667444821732,0.31312616559445183,11.73,full_pow,pow,42,266,logreg,patho
H15,0.5894312156763537,0.16133455587736154,13.85,full_pow,pow,42,266,logreg,patho
H16,0.7724160006207808,0.4082209162323399,12.21,full_pow,pow,42,266,logreg,patho
H17,0.7920844209776934,0.42215986488057744,11.82,full_pow,pow,42,266,logreg,patho
H18,0.712651956439154,0.34691618184322137,13.15,full_pow,pow,42,266,logreg,patho
H19,0.7504272422305209,0.3026357728256892,12.61,full_pow,pow,42,266,logreg,patho
H20,0.6629117488845996,0.15867760554118562,13.77,full_pow,pow,42,266,logreg,patho
H21,0.7220754924617585,0.3385787583513008,14.05,full_pow,pow,42,266,logreg,patho
H22,0.7570082091821223,0.34960825275553525,13.54,full_pow,pow,42,266,logreg,patho
H23,0.7398042875728266,0.33398967186432305,12.2,full_pow,pow,42,266,logreg,patho
H24,0.7697835497835499,0.3774190826289311,13.02,full_pow,pow,42,266,logreg,patho
H25,0.7801769911504424,0.4195203909587961,13.82,full_pow,pow,42,266,logreg,patho
H26,0.8003143318324696,0.41561369154789507,14.83,full_pow,pow,42,266,logreg,patho
H27,0.7973195588440597,0.39683345861034913,12.41,full_pow,pow,42,266,logreg,patho
H28,0.6651045603426556,0.2501674792699661,13.93,full_pow,pow,42,266,logreg,patho
H29,0.713054906542056,0.34866449826076523,13.08,full_pow,pow,42,266,logreg,patho
H30,0.7318181818181818,0.3685959030459374,13.27,full_pow,pow,42,266,logreg,patho
H1,0.7496837349556269,0.3695629129139064,13.41,full_cov,cov,42,190,logreg,patho
H2,0.7254565001912612,0.3338152762472002,12.59,full_cov,cov,42,190,logreg,patho
H3,0.7047023499745982,0.21616100186059684,11.49,full_cov,cov,42,190,logreg,patho
H4,0.7791860854629374,0.34814615640358043,12.84,full_cov,cov,42,190,logreg,patho
H5,0.7410858088761632,0.3165211318388271,13.02,full_cov,cov,42,190,logreg,patho
H6,0.6807222109840979,0.21561567790173808,12.86,full_cov,cov,42,190,logreg,patho
H7,0.7523923444976077,0.4110681130758041,10.86,full_cov,cov,42,190,logreg,patho
H8,0.6856185440236103,0.12542366947062705,11.69,full_cov,cov,42,190,logreg,patho
H9,0.7327396586748095,0.2699722359352991,11.32,full_cov,cov,42,190,logreg,patho
H10,0.758458424797873,0.3010935706486732,11.0,full_cov,cov,42,190,logreg,patho
H11,0.8422464173595112,0.34082502358314315,10.94,full_cov,cov,42,190,logreg,patho
H12,0.7555340656683943,0.3502952698662517,12.66,full_cov,cov,42,190,logreg,patho
H13,0.7734171992150154,0.34044063557855897,12.43,full_cov,cov,42,190,logreg,patho
H14,0.7817805602716468,0.31084930125739413,12.92,full_cov,cov,42,190,logreg,patho
H15,0.6140414677081028,0.19130286301627467,12.21,full_cov,cov,42,190,logreg,patho
H16,0.8288068078942603,0.5070528116329791,12.02,full_cov,cov,42,190,logreg,patho
H17,0.8208983448030376,0.4435189361688259,11.36,full_cov,cov,42,190,logreg,patho
H18,0.695818032164113,0.33517880862651184,10.61,full_cov,cov,42,190,logreg,patho
H19,0.7729954779135106,0.30724510174498715,13.89,full_cov,cov,42,190,logreg,patho
H20,0.6426710544357603,0.13090677126932665,13.15,full_cov,cov,42,190,logreg,patho
H21,0.7057004511940136,0.34220640845242134,13.71,full_cov,cov,42,190,logreg,patho
H22,0.7124353906962603,0.33672299970677877,12.33,full_cov,cov,42,190,logreg,patho
H23,0.7102211663555632,0.2397023581136185,13.44,full_cov,cov,42,190,logreg,patho
H24,0.8016623376623376,0.39733637830044427,14.26,full_cov,cov,42,190,logreg,patho
H25,0.7964096080910241,0.421038545532417,13.68,full_cov,cov,42,190,logreg,patho
H26,0.8031390705972304,0.350918962008218,12.73,full_cov,cov,42,190,logreg,patho
H27,0.7938294010889292,0.4801764427672136,14.47,full_cov,cov,42,190,logreg,patho
H28,0.6456538170823884,0.19193893321036615,11.35,full_cov,cov,42,190,logreg,patho
H29,0.8189252336448598,0.5442338955674451,12.83,full_cov,cov,42,190,logreg,patho
H30,0.7572727272727273,0.4090835304230178,14.9,full_cov,cov,42,190,logreg,patho
H1,0.7853128355120433,0.4176930316113324,24.54,no_coh,coh,42,456,logreg,patho
H2,0.7783397385804874,0.4321449906432025,25.32,no_coh,coh,42,456,logreg,patho
H3,0.7659403925504629,0.3091137341967164,26.31,no_coh,coh,42,456,logreg,patho
H4,0.7192323083806017,0.3429074554342122,23.99,no_coh,coh,42,456,logreg,patho
H5,0.7413256084466713,0.3440789332474532,26.48,no_coh,coh,42,456,logreg,patho
H6,0.7194781104411403,0.29520268965165175,25.29,no_coh,coh,42,456,logreg,patho
H7,0.7972914674812864,0.4675319724195192,21.29,no_coh,coh,42,456,logreg,patho
H8,0.7599073618626004,0.13449947225117767,24.69,no_coh,coh,42,456,logreg,patho
H9,0.7495719418099638,0.31480913776057873,23.36,no_coh,coh,42,456,logreg,patho
H10,0.7867060860556871,0.3886693770650544,24.69,no_coh,coh,42,456,logreg,patho
H11,0.8021623154553258,0.4108418453098737,29.01,no_coh,coh,42,456,logreg,patho
H12,0.8161538054728698,0.47925412835114484,24.71,no_coh,coh,42,456,logreg,patho
H13,0.7822794746641172,0.423047773638845,24.49,no_coh,coh,42,456,logreg,patho
H14,0.7990768251273346,0.36033791503173285,19.82,no_coh,coh,42,456,logreg,patho
H15,0.6404225827193287,0.23897250372111797,26.04,no_coh,coh,42,456,logreg,patho
H16,0.8538287938749644,0.5294325881635756,23.17,no_coh,coh,42,456,logreg,patho
H17,0.8387777349311818,0.5127614440517683,24.18,no_coh,coh,42,456,logreg,patho
H18,0.7077529441560088,0.3285052341587096,24.25,no_coh,coh,42,456,logreg,patho
H19,0.820192557897476,0.362803499011156,23.05,no_coh,coh,42,456,logreg,patho
H20,0.6608549821219505,0.15203202717119946,25.96,no_coh,coh,42,456,logreg,patho
