task,model,condition,metric,n_features,n_seeds,mean,std
site,catboost,full_coh,mcc,2394,1,0.8368,0.0028
site,catboost,full_pow,mcc,266,1,0.5909,0.006
site,catboost,full_cov,mcc,190,1,0.7351,0.0055
site,catboost,no_coh,mcc,456,1,0.7671,0.0043
site,catboost,no_pow,mcc,2584,1,0.8433,0.0038
site,catboost,no_cov,mcc,2660,1,0.8479,0.0035
site,catboost,sub_coh,mcc,190,10,0.8031,0.0055
site,catboost,sub_pow,mcc,190,10,0.5809,0.0051
site,catboost,sub_cov,mcc,190,1,0.7351,0.0055
site,logreg,full_coh,mcc,2394,1,0.8239,0.0041
site,logreg,full_pow,mcc,266,1,0.5358,0.0047
site,logreg,full_cov,mcc,190,1,0.7152,0.0045
site,logreg,no_coh,mcc,456,1,0.7561,0.007
site,logreg,no_pow,mcc,2584,1,0.8436,0.0061
site,logreg,no_cov,mcc,2660,1,0.8497,0.0049
site,logreg,sub_coh,mcc,190,10,0.7739,0.0074
site,logreg,sub_pow,mcc,190,10,0.5231,0.005
site,logreg,sub_cov,mcc,190,1,0.7152,0.0045
patho,catboost,full_coh,auc,2394,1,0.7552,0.0496
patho,catboost,full_pow,auc,266,1,0.7679,0.057
patho,catboost,full_cov,auc,190,1,0.7625,0.0527
patho,catboost,no_coh,auc,456,1,0.7996,0.0526
patho,catboost,no_pow,auc,2584,1,0.7913,0.0507
patho,catboost,no_cov,auc,2660,1,0.7816,0.0515
patho,catboost,sub_coh,auc,190,5,0.7313,0.0495
patho,catboost,sub_pow,auc,190,5,0.7667,0.0553
patho,catboost,sub_cov,auc,190,1,0.7633,0.053
patho,logreg,full_coh,auc,2394,1,0.7513,0.0504
patho,logreg,full_pow,auc,266,1,0.7298,0.0486
patho,logreg,full_cov,auc,190,1,0.7461,0.058
patho,logreg,no_coh,auc,456,1,0.7733,0.0556
patho,logreg,no_pow,auc,2584,1,0.7658,0.0541
patho,logreg,no_cov,auc,2660,1,0.7592,0.0507
patho,logreg,sub_coh,auc,190,5,0.7273,0.0474
patho,logreg,sub_pow,auc,190,5,0.7286,0.0489
patho,logreg,sub_cov,auc,190,1,0.7461,0.058
