,mean_value,std_value
MCC_Overall,0.8498046677586506,0.0026139585571050474
Accuracy,0.8643481406093703,0.0023254617072303438
Precision (Macro),0.8549389813768384,0.02157753818086869
Precision (Weighted),0.8618697051057544,0.002680605041373407
Recall (Macro),0.7157623783298922,0.0065952482110557134
Recall (Weighted),0.8643481406093703,0.0023254617072303438
F1-Score (Macro),0.7478643649635559,0.009689166127250369
F1-Score (Weighted),0.8549635379929157,0.0024698152716487684
AUC (OvR),0.9911131081373703,0.0013108290893201176
AUC (OvO),0.9866180705094753,0.0016529588170938897
MCC_AKS,0.5024519462048918,0.10836936171633862
MCC_ARCHDAM,0.8630215771043656,0.009273396486254179
MCC_B2K,0.9065113812403108,0.01059700994556441
MCC_CHE,0.33096643099940576,0.15419026657763937
MCC_CMD,0.2324107166112634,0.06068584179867822
MCC_GAK,0.7276515607920283,0.02375180829843475
MCC_KAL,0.9355227272173401,0.01926044573240569
MCC_KATMOJPRZ,0.9125984669506468,0.007225966530325929
MCC_KIEG,0.3114021246325961,0.03693635273659326
MCC_KLU,0.8188160877599209,0.04281433122114942
MCC_KUD,0.9379220704293278,0.02548647264535043
MCC_LUMICE,0.9181634793103679,0.04327895098877267
MCC_LUX_A,0.8366624456459417,0.008952854317285153
MCC_MKW,0.7947181029430832,0.01806158646160764
MCC_MOR,0.9438770548694478,0.028112712694249597
MCC_OST,0.7693066625716094,0.006175095019833893
MCC_OTW,0.8245799743081239,0.006831314952861322
MCC_PIO,0.5543995758974607,0.07512876734383547
MCC_PRZ,0.8238690817054504,0.020318527137711654
MCC_PUS,0.886370679145028,0.04642599175733625
MCC_SL2,0.47132072900404876,0.09561206251689289
MCC_SLU,0.8813520845034775,0.024892394514585643
MCC_SRK,0.7776316303726908,0.03563179052194797
MCC_STG1,0.8992083622318396,0.011606526884213214
MCC_SZC,0.8813447234794667,0.009059674787763391
MCC_TER_L,0.6451978791117978,0.037281615424357546
MCC_TOR,0.9286149849417079,0.006284595043272082
MCC_WLU,0.792310578890742,0.01174879995856501
MCC_Z04O,0.8897515118087144,0.010557764606126738
MCC_ZOZLO,0.7665916384999926,0.02986698921789126
