,mean_value,std_value
MCC_Overall,0.7517053288120573,0.008916781054900865
Accuracy,0.7767619435813378,0.00794432846557086
Precision (Macro),0.7403525541023861,0.028911730636412912
Precision (Weighted),0.7693083841525257,0.007336190093671004
Recall (Macro),0.5842893736187743,0.012169336511950473
Recall (Weighted),0.7767619435813378,0.00794432846557086
F1-Score (Macro),0.6219848054054393,0.010177086277919833
F1-Score (Weighted),0.7619956889791754,0.008928661716268804
AUC (OvR),0.9760181570730133,0.0021617933609719532
AUC (OvO),0.9685892805884826,0.0023520431494505477
MCC_AKS,0.3490102867210161,0.046606391182078155
MCC_ARCHDAM,0.8133647853400741,0.005794326145378979
MCC_B2K,0.8311282960689657,0.01087793051586549
MCC_CHE,0.1434932814248177,0.13202399038064866
MCC_CMD,0.2000529746408663,0.0799198866676919
MCC_GAK,0.6418272743283979,0.048043663913432545
MCC_KAL,0.8320131239135151,0.031945373632940297
MCC_KATMOJPRZ,0.8344500434492728,0.009302824009779803
MCC_KIEG,0.07288526643575277,0.11003215835951995
MCC_KLU,0.6835968304708537,0.046564227569882544
MCC_KUD,0.8002093123399971,0.047126077698194775
MCC_LUMICE,0.865982351806377,0.03396628685311822
MCC_LUX_A,0.7318474298948571,0.03392693145914157
MCC_MKW,0.5531769952559632,0.047939899293596676
MCC_MOR,0.8224327538120766,0.057002943101553294
MCC_OST,0.6002030464469685,0.05298028244443327
MCC_OTW,0.7157696316397345,0.01211673680933923
MCC_PIO,0.3072665950003359,0.19687525732518882
MCC_PRZ,0.6463523274445888,0.04462127090221778
MCC_PUS,0.7987370632408171,0.06293323178156741
MCC_SL2,0.2852204312356279,0.08928047836768534
MCC_SLU,0.8113769603638131,0.01732411860222439
MCC_SRK,0.5496986583038995,0.03762989592163434
MCC_STG1,0.8406958535351509,0.005296150841166374
MCC_SZC,0.7837302013359284,0.016516679647258392
MCC_TER_L,0.4893508440698291,0.0510711585572293
MCC_TOR,0.844717492311044,0.017907533264524936
MCC_WLU,0.6779516093643624,0.02298171908370758
MCC_Z04O,0.8042995661789002,0.023325136056058404
MCC_ZOZLO,0.5888684396434637,0.058357751567481776
