,mean_value,std_value
MCC_Overall,0.9698798094749872,0.0023321372207660974
Accuracy,0.9727115678581045,0.0021201506729720994
Precision (Macro),0.9653798516775817,0.005295998160225033
Precision (Weighted),0.9728000636124154,0.0019563072748391966
Recall (Macro),0.8672155646298296,0.005556118168690838
Recall (Weighted),0.9727115678581045,0.0021201506729720994
F1-Score (Macro),0.8981002807419332,0.0061935491662205916
F1-Score (Weighted),0.9704223872046451,0.0022216555428668495
AUC (OvR),0.999326313124465,0.00017439092811332476
AUC (OvO),0.9977250369065827,0.00033462988618404067
MCC_AKS,0.8922315737844656,0.024143569854809532
MCC_ARCHDAM,0.9921644733087766,0.004467291833598298
MCC_B2K,0.9773229768393001,0.00969025708367371
MCC_CHE,0.7593302861003781,0.06799442132919961
MCC_CMD,0.9229837247215361,0.01936878907014595
MCC_GAK,0.9866664359986773,0.012630903405441088
MCC_KAL,0.9753765951223178,0.011334575015577842
MCC_KATMOJPRZ,0.9941920961914062,0.0025742994074324987
MCC_KIEG,0.6071610526113161,0.07986930183618815
MCC_KLU,0.9428841253337656,0.014416135196873958
MCC_KUD,0.988717507402292,0.011756933127799376
MCC_LUMICE,0.946530032896343,0.013960481524240039
MCC_LUX_A,0.9666594626195024,0.011379286848461873
MCC_MKW,0.8850288112870504,0.03679816208211426
MCC_MOR,0.6075952826841238,0.09744643110122933
MCC_OST,0.9413633605568424,0.01958175237020703
MCC_OTW,0.9895342921688828,0.00477875336052622
MCC_PIO,0.642783847362724,0.08780918200456707
MCC_PRZ,0.9907842207198441,0.004722919095855127
MCC_PUS,0.8903231524046034,0.03799707471806881
MCC_SL2,0.6165220609066235,0.1172764463361969
MCC_SLU,0.9611570365800437,0.0224998560262352
MCC_SRK,0.9163126404955525,0.03306358071930289
MCC_STG1,0.978371727807916,0.007733259835798469
MCC_SZC,0.9894132610100492,0.001944001874271423
MCC_TER_L,0.9737646297472471,0.0038444921863841175
MCC_TOR,0.983542616178996,0.0046085173382233785
MCC_WLU,0.9522851762597672,0.007606208294800393
MCC_Z04O,0.9809241500308653,0.0046047242736091554
MCC_ZOZLO,0.9228653855490189,0.031559355949401936
