,mean_value,std_value
MCC_Overall,0.7852149706074953,0.00689435896377173
Accuracy,0.8065722008514633,0.006125965588336286
Precision (Macro),0.7689934610522128,0.01430784299754089
Precision (Weighted),0.7989419526632315,0.006744553525924661
Recall (Macro),0.6163186998473023,0.008376336887014883
Recall (Weighted),0.8065722008514633,0.006125965588336286
F1-Score (Macro),0.6532083830968405,0.008712155235275576
F1-Score (Weighted),0.7932680428445675,0.00706739560826698
AUC (OvR),0.9815975682664388,0.0017711051638187995
AUC (OvO),0.9736929922079731,0.0019195051152292439
MCC_AKS,0.3925279876604687,0.08763959428294932
MCC_ARCHDAM,0.8267034684786019,0.00918337120711673
MCC_B2K,0.9285148504582758,0.011310962509614629
MCC_CHE,0.12921552725307708,0.12215158938595544
MCC_CMD,0.14524975335379825,0.04897241660548253
MCC_GAK,0.6895354588538469,0.043405107574075334
MCC_KAL,0.8544507210829154,0.03810224210782826
MCC_KATMOJPRZ,0.8561450927845013,0.0128250502116733
MCC_KIEG,0.18377458151130113,0.1309466494364676
MCC_KLU,0.6814450327362299,0.0307477041918374
MCC_KUD,0.8116469207808734,0.027326265178600095
MCC_LUMICE,0.8785459812743085,0.023862213705773294
MCC_LUX_A,0.7778099759082296,0.017524325392694624
MCC_MKW,0.6268502215346221,0.05031708217949955
MCC_MOR,0.8672894752649076,0.05201460268718053
MCC_OST,0.6275518491907646,0.039830522529568334
MCC_OTW,0.7197968588339648,0.01788318710474796
MCC_PIO,0.42327907632871636,0.06533301016664791
MCC_PRZ,0.6815721026438577,0.0334607506366309
MCC_PUS,0.8019691918181155,0.03826953930893613
MCC_SL2,0.2963673121984599,0.07455133859927421
MCC_SLU,0.8242812698727839,0.008166413145496106
MCC_SRK,0.6485939983278319,0.07900970952387457
MCC_STG1,0.8465714659449523,0.022847818788966575
MCC_SZC,0.826970895899316,0.013202280729914506
MCC_TER_L,0.5508007757295588,0.045269294209510855
MCC_TOR,0.8561681367704036,0.017676132760329834
MCC_WLU,0.6861878137882781,0.017101524551000783
MCC_Z04O,0.8427914182125411,0.019082898722152648
MCC_ZOZLO,0.5876608395532863,0.024385940178758718
