,mean_value,std_value
MCC_Overall,0.8630857666335073,0.0037570229147061577
Accuracy,0.876317276893278,0.0033774502927683267
Precision (Macro),0.8624420975942455,0.02189838276467602
Precision (Weighted),0.8729205775684037,0.004497839096530344
Recall (Macro),0.7353007199864601,0.010972856638401151
Recall (Weighted),0.876317276893278,0.0033774502927683267
F1-Score (Macro),0.7690873789747528,0.01235564698005174
F1-Score (Weighted),0.8679221919439133,0.0038693869066839903
AUC (OvR),0.9920113292444258,0.0008401202846644555
AUC (OvO),0.9878237105514556,0.0011333166836081632
MCC_AKS,0.5138537109665878,0.11284582262618767
MCC_ARCHDAM,0.8677702730531707,0.00603699284074519
MCC_B2K,0.9375992404587461,0.009751257367115499
MCC_CHE,0.42160327614534454,0.08778674045383024
MCC_CMD,0.2081993067800693,0.05502580548715988
MCC_GAK,0.7532233373230726,0.026823884796714634
MCC_KAL,0.9319873089279614,0.023112587706074036
MCC_KATMOJPRZ,0.9196465014944735,0.007467311036470999
MCC_KIEG,0.4214754461530489,0.039642835528472434
MCC_KLU,0.821397130023971,0.030752798643741974
MCC_KUD,0.9349409522341103,0.019937688528435416
MCC_LUMICE,0.9194414761840376,0.037723129590607564
MCC_LUX_A,0.8522446800668112,0.02801224673506086
MCC_MKW,0.8188890286774997,0.027442349569453444
MCC_MOR,0.9546190867019642,0.021372252763842713
MCC_OST,0.7864673523000336,0.02505139131336022
MCC_OTW,0.8357585107167438,0.019449772500643853
MCC_PIO,0.5750954913859131,0.11958141862981367
MCC_PRZ,0.8353629171765015,0.012860295582105065
MCC_PUS,0.906352421494099,0.027266690786883575
MCC_SL2,0.49536922612106427,0.06307952074336683
MCC_SLU,0.8811731194972345,0.015198586040705031
MCC_SRK,0.7823284913429639,0.03459755938021748
MCC_STG1,0.919517877004813,0.0130913949081018
MCC_SZC,0.8875275703367546,0.00571767310421261
MCC_TER_L,0.6889468662984031,0.043396190448228365
MCC_TOR,0.9362994483990832,0.014512427997143564
MCC_WLU,0.8168622074031069,0.024157166653597364
MCC_Z04O,0.9149119465020409,0.005423612983780522
MCC_ZOZLO,0.7986158393254315,0.02982653686911443
