,mean_value,std_value
MCC_Overall,0.857449404231267,0.0024718485005789763
Accuracy,0.8712738745711534,0.0022190728305347958
Precision (Macro),0.8506980304926184,0.020244966812068246
Precision (Weighted),0.8669604433941485,0.0034941763065462882
Recall (Macro),0.7289215156132942,0.0055842383994152344
Recall (Weighted),0.8712738745711534,0.0022190728305347958
F1-Score (Macro),0.7615900679557087,0.00732735699223835
F1-Score (Weighted),0.8630091532115755,0.0018600685033654206
AUC (OvR),0.9918743288965791,0.0012965055821675103
AUC (OvO),0.9877157071489178,0.0016975241895281835
MCC_AKS,0.5121933616739144,0.09889514819571937
MCC_ARCHDAM,0.8697371040279706,0.009098898539350054
MCC_B2K,0.9313490316385697,0.008655549083909078
MCC_CHE,0.37980673014503663,0.11647471589741783
MCC_CMD,0.21236373196034042,0.051728339963408615
MCC_GAK,0.7369035401370553,0.057333990151903005
MCC_KAL,0.9234704237581763,0.024969197585277776
MCC_KATMOJPRZ,0.9160759638649079,0.007886306503096076
MCC_KIEG,0.3451886300032445,0.0907493201765342
MCC_KLU,0.812666433144957,0.03525230178181224
MCC_KUD,0.9409115689249093,0.018768793955278366
MCC_LUMICE,0.9310650732597099,0.03009738344557146
MCC_LUX_A,0.8338937907697975,0.009584784744799499
MCC_MKW,0.798167220127983,0.01066888922218212
MCC_MOR,0.964155676845125,0.029296071502527447
MCC_OST,0.7792780653531747,0.014922703135141612
MCC_OTW,0.8224216115330455,0.005929255616766561
MCC_PIO,0.6129953797806807,0.09070875285631931
MCC_PRZ,0.8216358172378767,0.022636509762939877
MCC_PUS,0.9004107038356057,0.052150175193751924
MCC_SL2,0.4720202562480652,0.12019109397877896
MCC_SLU,0.8807421353998628,0.03759823185330487
MCC_SRK,0.7979717332188551,0.018794899572766057
MCC_STG1,0.9016661305200955,0.010461140985856814
MCC_SZC,0.8892036074007652,0.006788837256153647
MCC_TER_L,0.6888812905614932,0.02685369714744193
MCC_TOR,0.9353075068814253,0.005124562304317922
MCC_WLU,0.798434360900174,0.024843819589890168
MCC_Z04O,0.9018393291649781,0.012826797370741461
MCC_ZOZLO,0.7739092149541005,0.024251767692458598
