TER_L,MKW,ARCHDAM,SZC,KUD,TOR,KATMOJPRZ,LUMICE,KAL,KLU,LUX_A,AKS,ZOZLO,STG1,GAK,OST,OTW,PRZ,CHE,CMD,MOR,PUS,SL2,SRK,B2K,KIEG,PIO,SLU,WLU,Z04O
0.0,4.464006673109886e-16,3.7807726386410436e-16,3.1786373403628903e-16,3.3559825233777326e-16,3.404128169246959e-16,3.441020420306197e-16,3.865694469566893e-16,3.662587744647659e-16,3.567504247651041e-16,3.7076941419744877e-16,3.442669454126713e-16,3.392333979653996e-16,3.486808450004566e-16,3.1849484986285573e-16,3.3870104861770415e-16,3.3955134150852394e-16,3.323275016860031e-16,4.1049163232777696e-16,3.9015093142352876e-16,4.50209743298595e-16,3.999930216663659e-16,3.845581519607668e-16,3.9068485778916045e-16,3.1779623554192264e-16,4.624626869880077e-16,3.537991890587269e-16,3.587271757213785e-16,3.415857599669343e-16,3.181574083995649e-16
4.464006673109886e-16,0.0,4.906648068291582e-16,4.445939897204553e-16,4.639565331315674e-16,4.582390543050581e-16,4.61798440770699e-16,4.846536343813599e-16,4.753827617952761e-16,4.639527666778865e-16,4.858739620682416e-16,4.648843096924605e-16,4.662099768391973e-16,4.668392257789855e-16,4.533091828486335e-16,4.479289757274856e-16,4.457044860903949e-16,4.499651915385568e-16,5.113143149631095e-16,4.976562964052735e-16,5.458406808291006e-16,5.008242746673781e-16,4.928028093871765e-16,4.900885195656341e-16,4.481244608569139e-16,5.53226859328166e-16,4.676349756127788e-16,4.81560969837698e-16,4.565976679400054e-16,4.474114475290871e-16
3.7807726386410436e-16,4.906648068291582e-16,0.0,3.667192028059011e-16,3.849089580032353e-16,3.9406265954144817e-16,3.869786747022538e-16,4.435644742032747e-16,4.1896170751185446e-16,4.0357544414604547e-16,4.139546143045259e-16,3.960835009360276e-16,3.939435977424972e-16,4.024379082464512e-16,3.763959113223162e-16,3.8665625039230984e-16,3.8738606228077475e-16,3.8139288870584133e-16,4.517653244465372e-16,4.387236274418257e-16,4.857941332457121e-16,4.3993138227474445e-16,4.320028542066733e-16,4.3173914555105277e-16,3.696302168808908e-16,5.005659185617228e-16,4.047383914376423e-16,4.1525209919453585e-16,3.985432776034375e-16,3.771671482087798e-16
3.1786373403628903e-16,4.445939897204553e-16,3.667192028059011e-16,0.0,3.3246014459181014e-16,3.4959162543617823e-16,3.358694032193545e-16,3.8765729707088917e-16,3.603564798315976e-16,3.5325316414172204e-16,3.601573560142825e-16,3.369874606924629e-16,3.3384144804599874e-16,3.486660866339875e-16,3.192278739695216e-16,3.3653091525772322e-16,3.33786310020562e-16,3.209220834621919e-16,4.019948096588563e-16,3.901540688018717e-16,4.514496313764165e-16,3.893216706135615e-16,3.8082489089488356e-16,3.9003804311628696e-16,3.2244964158288935e-16,4.5586744590607165e-16,3.549941682043497e-16,3.5793583203958697e-16,3.3991087550004825e-16,3.1390604113240167e-16
3.3559825233777326e-16,4.639565331315674e-16,3.849089580032353e-16,3.3246014459181014e-16,0.0,3.522174021209327e-16,3.4087454944437033e-16,3.9559940380510614e-16,3.741436606525934e-16,3.6703715665995525e-16,3.7785541415946686e-16,3.6125587175405607e-16,3.479918046382389e-16,3.640465317514061e-16,3.3222343398879256e-16,3.502923070059268e-16,3.428533158646272e-16,3.4052619719208587e-16,4.135299931586723e-16,4.032106690777321e-16,4.553844359154325e-16,3.9612525885511074e-16,3.9106007837777413e-16,3.9885263994191817e-16,3.3264482176183577e-16,4.762263702361484e-16,3.614747492325713e-16,3.7306816890193984e-16,3.5571526670975194e-16,3.35098726254646e-16
3.404128169246959e-16,4.582390543050581e-16,3.9406265954144817e-16,3.4959162543617823e-16,3.522174021209327e-16,0.0,3.58697338257033e-16,4.1179182404400165e-16,3.7866723523564587e-16,3.7133020602767747e-16,3.952541814934042e-16,3.6717094728998894e-16,3.613111226773636e-16,3.743035447361092e-16,3.484952306305699e-16,3.58963327213398e-16,3.5432958566162494e-16,3.4867475627570344e-16,4.3487927202169476e-16,4.198674781946197e-16,4.742843695699269e-16,4.1744060426879864e-16,4.0791732610702154e-16,4.119769610898439e-16,3.4520586474711003e-16,4.766282832023851e-16,3.790055229595042e-16,3.907849495580499e-16,3.666287565108713e-16,3.3542840315256034e-16
3.441020420306197e-16,4.61798440770699e-16,3.869786747022538e-16,3.358694032193545e-16,3.4087454944437033e-16,3.58697338257033e-16,0.0,3.988274217522822e-16,3.7688540514843294e-16,3.7055055990354856e-16,3.7675422591147315e-16,3.65600275477697e-16,3.5704383020825527e-16,3.65073599519674e-16,3.373388989119714e-16,3.4938819330664535e-16,3.5103122854961097e-16,3.432110105648572e-16,4.26123832194506e-16,4.1338819469110586e-16,4.607262713489128e-16,4.058286511286173e-16,4.014851616965011e-16,4.011348797467182e-16,3.3893410825142903e-16,4.740840481007942e-16,3.7511514902726174e-16,3.7302833724897615e-16,3.541235594382846e-16,3.400692941411438e-16
3.865694469566893e-16,4.846536343813599e-16,4.435644742032747e-16,3.8765729707088917e-16,3.9559940380510614e-16,4.1179182404400165e-16,3.988274217522822e-16,0.0,4.2357299068995604e-16,4.183159731366882e-16,4.2532901190739663e-16,4.127095749774599e-16,4.005737665625109e-16,4.0850802204763217e-16,3.899716652867118e-16,3.971422860992773e-16,3.9900634743521526e-16,3.8986850274375983e-16,4.536027285688206e-16,4.484293007967355e-16,4.897499684221775e-16,4.483386533815914e-16,4.491778254140047e-16,4.44571756092275e-16,3.875128186379344e-16,5.13962615714906e-16,4.203404294355816e-16,4.118576241697016e-16,4.0421556270695815e-16,3.739793539227213e-16
3.662587744647659e-16,4.753827617952761e-16,4.1896170751185446e-16,3.603564798315976e-16,3.741436606525934e-16,3.7866723523564587e-16,3.7688540514843294e-16,4.2357299068995604e-16,0.0,3.865244610779936e-16,4.0816055474668657e-16,3.8897109149694284e-16,3.714072045497989e-16,3.8716122653182957e-16,3.7412182150393937e-16,3.783173808046023e-16,3.769429694019405e-16,3.7112860222412344e-16,4.3868884140882403e-16,4.2328936657186214e-16,4.7573238084431665e-16,4.220311072676371e-16,4.24192664121935e-16,4.1514579238739446e-16,3.6183183136978564e-16,4.997024867541973e-16,3.949656899077422e-16,3.8842589043377335e-16,3.8439671791929574e-16,3.6402639136532597e-16
3.567504247651041e-16,4.639527666778865e-16,4.0357544414604547e-16,3.5325316414172204e-16,3.6703715665995525e-16,3.7133020602767747e-16,3.7055055990354856e-16,4.183159731366882e-16,3.865244610779936e-16,0.0,4.021544674479814e-16,3.7628245921443207e-16,3.740029720521239e-16,3.8649327984858914e-16,3.5287716048752397e-16,3.6862527934200106e-16,3.66336226305209e-16,3.699210682577865e-16,4.3348616751786003e-16,4.2119709324173115e-16,4.710124416598821e-16,4.2655710208893716e-16,4.0819297192185833e-16,4.2535732650729385e-16,3.6310582102867e-16,4.9118830690560515e-16,3.8954427316558786e-16,3.928077837590193e-16,3.733515349256005e-16,3.4629332133533177e-16
