Hospital,Accuracy,Precision,Recall,F1-Score,AUC,MCC
AKS,0.7661927330173776,0.9146868250539957,0.7960526315789473,0.8512562814070351,0.7943357775627187,0.33459346349706365
ARCHDAM,0.7518772445315051,0.5254629629629629,0.5646766169154229,0.5443645083932853,0.7635367870695218,0.3746449796369501
B2K,0.8035375868603917,0.5930735930735931,0.5472703062583223,0.5692520775623269,0.7842142843358613,0.44286681345088547
CHE,0.4292168674698795,0.9598393574297188,0.3930921052631579,0.5577596266044341,0.7018620770676692,0.12313775728090239
CMD,0.7629107981220657,0.7380952380952381,0.4397163120567376,0.5511111111111111,0.8198083862137613,0.42876097555440457
GAK,0.657991202346041,0.9362068965517242,0.6646266829865362,0.7773801002147459,0.6984594809162104,0.16584619230480394
KAL,0.5602094240837696,0.42455242966751916,0.8601036269430051,0.5684931506849316,0.749590946277611,0.27206866315109224
KATMOJPRZ,0.5603474094040132,0.33568548387096775,0.8161764705882353,0.4757142857142857,0.7269284348697862,0.2570923406218151
KIEG,0.7463414634146341,0.7967479674796748,0.784,0.7903225806451613,0.8421000000000001,0.46948553403344245
KLU,0.6457800511508951,0.7352941176470589,0.5898876404494382,0.6546134663341646,0.7021238288934085,0.3076720458873238
KUD,0.6671949286846276,0.664179104477612,0.5973154362416108,0.6289752650176679,0.7402503174315256,0.33030661665374067
LUMICE,0.5750577367205543,0.4364820846905538,0.9241379310344827,0.5929203539823009,0.8355603448275861,0.3360657041781132
LUX_A,0.7309769268532155,0.737516005121639,0.6267682263329706,0.6776470588235294,0.7909195847551491,0.45379424424387726
MKW,0.73558648111332,0.7637540453074434,0.7972972972972973,0.7801652892561983,0.7952572137354745,0.44953109553307513
MOR,0.6098484848484849,0.8409090909090909,0.5751295336787565,0.683076923076923,0.7088958622199518,0.24773659777760085
OST,0.7477231329690346,0.6428571428571429,0.8237986270022883,0.7221664994984955,0.8540904322900259,0.5103674948593738
OTW,0.776969696969697,0.7283142389525368,0.6877897990726429,0.7074721780604134,0.8449812848933879,0.528059511921097
PIO,0.5265306122448979,0.9419847328244275,0.5323554788610871,0.6802646085997794,0.4701545219232881,-0.019645646271551475
PRZ,0.6868686868686869,0.636471990464839,0.736551724137931,0.6828644501278772,0.7664710368913331,0.38079128822018554
PUS,0.7292817679558011,0.7735042735042735,0.8008849557522124,0.7869565217391304,0.8011452368558043,0.41652566242421646
SL2,0.7071428571428572,0.7532467532467533,0.725,0.7388535031847133,0.7891666666666666,0.4061811972299616
SLU,0.7541647906348492,0.8577307466196356,0.8275666477595008,0.8423787528868361,0.7478345515657857,0.2858518861561739
SRK,0.7731958762886598,0.7169811320754716,0.6368715083798883,0.6745562130177515,0.81620842005331,0.5035120801913182
STG1,0.5597718797982013,0.9123259412068077,0.49057127010537993,0.6380522993688007,0.7219432576811762,0.25676444259571773
SZC,0.6586299272866437,0.556870479947403,0.7953051643192488,0.6550657385924207,0.7702050047918866,0.3585682326994287
TER_L,0.591919191919192,0.44299065420560746,0.6909620991253644,0.5398633257403189,0.6757855272822311,0.21996396084014397
TOR,0.5032258064516129,0.3058103975535168,0.9615384615384616,0.46403712296983757,0.8578401342424888,0.30349272522897147
WLU,0.6111473272490222,0.857780612244898,0.5809935205183585,0.6927633273242338,0.692277111854956,0.24522378725286792
Z04O,0.6073500967117988,0.7505845674201091,0.5174637291778613,0.6125954198473282,0.6731999683048416,0.25825341253635553
ZOZLO,0.7723718505647263,0.8269794721407625,0.7966101694915254,0.8115107913669065,0.8623917562586881,0.5250685911276515
