Hospital,Accuracy,Precision,Recall,F1-Score,AUC,MCC
AKS,0.8135860979462876,0.9207317073170732,0.8515037593984962,0.884765625,0.8501544703342514,0.40956067315412076
ARCHDAM,0.7868103166829905,0.593094944512947,0.5982587064676617,0.5956656346749226,0.809063359607452,0.4509198791173119
B2K,0.7015161086544536,0.4246894409937888,0.7283621837549934,0.5365375183913683,0.7901905809507268,0.36500698984035973
CHE,0.4924698795180723,0.9787985865724381,0.4555921052631579,0.621773288439955,0.7739661654135339,0.19580763830069245
CMD,0.7981220657276995,0.7669902912621359,0.5602836879432624,0.6475409836065574,0.8647007589896728,0.5232217774880364
GAK,0.5652492668621701,0.966789667896679,0.5344757241942064,0.6883867577509196,0.751144084710138,0.2247366512640382
KAL,0.6300174520069808,0.47293447293447294,0.8601036269430051,0.6102941176470589,0.7952140714480501,0.3621209321024136
KATMOJPRZ,0.6208445642407907,0.37877155172413796,0.8615196078431373,0.5261976047904192,0.8077389001577644,0.3498552549085324
KIEG,0.751219512195122,0.7761194029850746,0.832,0.803088803088803,0.8442,0.4685270035757513
KLU,0.6860613810741688,0.7903930131004366,0.6101123595505618,0.6886493341788206,0.7512636281799085,0.39559328427027196
KUD,0.7464342313787639,0.7574626865671642,0.6812080536912751,0.7173144876325088,0.816252494104843,0.4908596109753269
LUMICE,0.6928406466512702,0.5241935483870968,0.896551724137931,0.6615776081424937,0.8769875478927204,0.46445691054308624
LUX_A,0.7589592538046146,0.7853333333333333,0.6409140369967355,0.7058118633912522,0.8314493664849208,0.512665111582665
MKW,0.7495029821073559,0.7428571428571429,0.8783783783783784,0.804953560371517,0.8346226661444052,0.4745026984439184
MOR,0.7310606060606061,0.8465909090909091,0.772020725388601,0.8075880758807588,0.7995329489892724,0.3684741352563507
OST,0.7568306010928961,0.6384364820846905,0.897025171624714,0.7459562321598477,0.8919846152248344,0.5532600884564528
OTW,0.7406060606060606,0.6442687747035574,0.7557959814528593,0.6955903271692745,0.8356322069340665,0.4766703598835344
PIO,0.49142857142857144,0.9527027027027027,0.48662640207075064,0.6442033123929183,0.5067325541872565,0.028185389504431495
PRZ,0.7525252525252525,0.6989247311827957,0.8068965517241379,0.7490396927016645,0.8452073381237204,0.5125192879602334
PUS,0.7569060773480663,0.7653846153846153,0.8805309734513275,0.8189300411522634,0.8335176991150441,0.4650741817957242
SL2,0.7142857142857143,0.7631578947368421,0.725,0.7435897435897436,0.7864583333333334,0.42219468881448274
SLU,0.7766771724448447,0.8706846108835576,0.8440158820192853,0.8571428571428571,0.7885526605849993,0.34724893184442657
SRK,0.7793814432989691,0.6978021978021978,0.7094972067039106,0.703601108033241,0.8547851170263263,0.5279688168180616
STG1,0.5928931783285808,0.9473415132924335,0.5138657792567942,0.6663070837828119,0.777220139687905,0.33337643254188215
SZC,0.6747034060466897,0.5701239399869537,0.8206572769953052,0.6728252501924558,0.8027210257670052,0.39410849597492636
TER_L,0.6252525252525253,0.47297297297297297,0.7142857142857143,0.5691056910569106,0.7209006808729232,0.27851525371411834
TOR,0.46559139784946235,0.2932761087267525,0.9855769230769231,0.4520396912899669,0.8941175687193693,0.29063674033838477
WLU,0.6085397653194263,0.904796511627907,0.5377969762419006,0.6746139257653753,0.7391840843967543,0.31481654705676937
Z04O,0.6727917472598324,0.7768324607329843,0.6378291241268136,0.7005016228976099,0.7346115026579334,0.35576427744522376
ZOZLO,0.8262380538662033,0.8479452054794521,0.8742937853107344,0.8609179415855355,0.9133252987463494,0.6301040412249327
