Hospital,Accuracy,Precision,Recall,F1-Score,AUC,MCC
AKS,0.6682098765432098,0.9502840909090909,0.6287593984962406,0.7567873303167421,0.8288825512056003,0.3677919565727907
ARCHDAM,0.7526673132880698,0.5182755388940956,0.6878109452736318,0.5911277391769107,0.7909953291645747,0.42743749031212475
B2K,0.8025657071339174,0.588495575221239,0.5312916111850865,0.5584324702589223,0.7974594201596236,0.4326546746033975
CHE,0.29827089337175794,0.984,0.20230263157894737,0.33560709413369716,0.7458690330477358,0.15351700244664931
CMD,0.8114035087719298,0.7272727272727273,0.624113475177305,0.6717557251908397,0.8697286952606101,0.5436397370318692
GAK,0.3103698332124728,0.9910554561717353,0.22603019175846592,0.3681063122923588,0.770938405782656,0.1641008884997767
KAL,0.7678275290215588,0.6267942583732058,0.6787564766839378,0.6517412935323383,0.8247188171363578,0.47887820958559574
KATMOJPRZ,0.7542297417631345,0.4948892674616695,0.7120098039215687,0.5839195979899497,0.8204836870118202,0.431339986450911
KIEG,0.7914893617021277,0.8518518518518519,0.736,0.7896995708154506,0.8536,0.5912769403245837
KLU,0.6442910915934755,0.8948655256723717,0.41123595505617977,0.5635103926096998,0.7752777068437181,0.39812787349589224
KUD,0.7140695915279879,0.8187134502923976,0.4697986577181208,0.5970149253731343,0.814031098045741,0.43676500527679657
LUMICE,0.8034557235421166,0.6776315789473685,0.7103448275862069,0.6936026936026936,0.8613099110821948,0.5493775243365228
LUX_A,0.7271407837445574,0.8784648187633263,0.44831338411316646,0.5936599423631124,0.832518492680652,0.47299715855917707
MKW,0.7335834896810507,0.8181818181818182,0.668918918918919,0.7360594795539034,0.8271752765423651,0.4823375949135521
MOR,0.6462585034013606,0.8739495798319328,0.538860103626943,0.6666666666666666,0.8124454932539886,0.37765543367054083
OST,0.8200354609929078,0.7746478873239436,0.7551487414187643,0.764774044032445,0.8936738120390638,0.6192156608538434
OTW,0.7666666666666667,0.8899082568807339,0.44976816074188564,0.5975359342915811,0.8616714869881246,0.509966938264319
PIO,0.3609561752988048,0.9407407407407408,0.3287316652286454,0.48721227621483376,0.530971383376474,0.044759971074736865
PRZ,0.7552664188351921,0.875,0.5310344827586206,0.6609442060085837,0.8574655754237616,0.5240674115827822
PUS,0.75,0.8809523809523809,0.6548672566371682,0.751269035532995,0.8587269431709138,0.5335610764058725
SL2,0.7235294117647059,0.7391304347826086,0.6375,0.6845637583892618,0.8030555555555555,0.4446917509198964
SLU,0.6410484229231452,0.9184925503943909,0.5944412932501418,0.721763085399449,0.7866516184223986,0.33286695721411796
SRK,0.7883495145631068,0.7160493827160493,0.6480446927374302,0.6803519061583577,0.8474993349295026,0.5241928635336306
STG1,0.5225539333188058,0.9603122966818478,0.40931780366056575,0.5739840559984445,0.7852293763812884,0.301869177654006
SZC,0.7693188322839153,0.7616477272727272,0.6293427230046948,0.6892030848329049,0.832813256912093,0.5142763429241952
TER_L,0.6431372549019608,0.4755244755244755,0.5947521865889213,0.5284974093264249,0.6594002868081185,0.2511243235958412
TOR,0.73125,0.4434389140271493,0.9423076923076923,0.6030769230769231,0.9017236088379706,0.5084717207051287
WLU,0.48224661071659136,0.9449311639549437,0.326133909287257,0.4849068721901092,0.7508789641656254,0.26815160432953206
Z04O,0.6379310344827587,0.8631368631368631,0.46426652337452984,0.6037735849056604,0.7775305020734942,0.375378311666308
ZOZLO,0.8103302286198137,0.9384057971014492,0.731638418079096,0.8222222222222222,0.9233316611125046,0.6479421314309621
