model,method,auc_mean,auc_std,mcc_mean,mcc_std,accuracy_mean,accuracy_std,f1-score_mean,f1-score_std
catboost,raw,0.7999,0.0782,0.399,0.1335,0.6932,0.0986,0.6963,0.1046
catboost,sitewise,0.8012,0.0643,0.4067,0.1156,0.7055,0.0876,0.7067,0.0998
catboost,combat,0.8074,0.0671,0.4188,0.1231,0.7058,0.0917,0.7036,0.0933
catboost,neurocombat,0.8078,0.0724,0.4202,0.1218,0.7045,0.0968,0.7026,0.0982
catboost,covbat,0.7914,0.0702,0.3918,0.1277,0.6989,0.0802,0.7012,0.0937
logreg,raw,0.7699,0.0789,0.359,0.1237,0.6784,0.1029,0.6755,0.1127
logreg,sitewise,0.7687,0.0664,0.3728,0.115,0.6925,0.0771,0.678,0.0912
logreg,combat,0.7754,0.0747,0.384,0.1206,0.6869,0.0893,0.6779,0.097
logreg,neurocombat,0.7751,0.0764,0.3817,0.1221,0.6867,0.0872,0.6775,0.0979
logreg,covbat,0.7827,0.0699,0.3862,0.1225,0.6915,0.0844,0.6872,0.099
