Hospital,Accuracy,Precision,Recall,F1-Score,AUC,MCC
AKS,0.8117283950617284,0.9124748490945674,0.8524436090225563,0.8814382896015549,0.8538533834586466,0.4329524754131825
ARCHDAM,0.7853216941480763,0.5857843137254902,0.5945273631840796,0.5901234567901235,0.8049127451427875,0.44473397213593396
B2K,0.7033792240300375,0.4235841737781226,0.7270306258322237,0.5352941176470588,0.792101056804969,0.36571852339444416
CHE,0.5144092219020173,0.9593220338983051,0.4654605263157895,0.6267995570321152,0.7544752141982864,0.21723114427866128
CMD,0.8092105263157895,0.7596153846153846,0.5602836879432624,0.6448979591836734,0.8632443994146122,0.5297224923521666
GAK,0.5721537345902828,0.9615105301379812,0.540187678498572,0.6917450365726228,0.7444292497777281,0.23120252107607658
KAL,0.6202321724709784,0.45081967213114754,0.8549222797927462,0.590339892665474,0.7959054720080879,0.3483099499798189
KATMOJPRZ,0.6176907094093202,0.37379679144385025,0.8566176470588235,0.5204765450483991,0.8073753100927015,0.34305850184318093
KIEG,0.7319148936170212,0.7123287671232876,0.832,0.7675276752767528,0.8372363636363637,0.46309262931574535
KLU,0.6844416562107905,0.7736916548797736,0.6146067415730337,0.6850344395742016,0.7478517620020428,0.3871644321907111
KUD,0.745839636913767,0.7372262773722628,0.6778523489932886,0.7062937062937062,0.8192264314900068,0.4843106725516248
LUMICE,0.6889848812095032,0.5019157088122606,0.903448275862069,0.645320197044335,0.8769030579050097,0.4625872994057598
LUX_A,0.7571359458151911,0.7739816031537451,0.6409140369967355,0.7011904761904761,0.8310957600482269,0.5059694888762335
MKW,0.7373358348968105,0.7142857142857143,0.8783783783783784,0.7878787878787878,0.8241675219523321,0.46940095012986666
MOR,0.7312925170068028,0.8166666666666667,0.7616580310880829,0.7882037533512064,0.808803160108757,0.4239019287581638
OST,0.7553191489361702,0.6292134831460674,0.897025171624714,0.7396226415094339,0.8909450370404715,0.5512997861718871
OTW,0.7410714285714286,0.6383812010443864,0.7557959814528593,0.692144373673036,0.8343669718456321,0.476451351093524
PIO,0.48764940239043825,0.9161290322580645,0.4900776531492666,0.6385609893198426,0.4832650273224044,-0.027425329273787352
PRZ,0.7503097893432465,0.6921241050119332,0.8,0.7421625079974408,0.8449679996896939,0.5075223287442637
PUS,0.7576530612244898,0.7416974169741697,0.8893805309734514,0.8088531187122736,0.8454792621814693,0.5002562587439344
SL2,0.6764705882352942,0.6404494382022472,0.7125,0.6745562130177515,0.7856944444444445,0.3567215630961785
SLU,0.7725455353176366,0.8647230320699708,0.8411798071469087,0.8527889591719379,0.7904152292571345,0.3538585210834238
SRK,0.7864077669902912,0.6885245901639344,0.7039106145251397,0.6961325966850829,0.8579076882149508,0.5315700860058292
STG1,0.5868380910873828,0.9425465838509317,0.5049916805324459,0.6576381365113759,0.7759992529688002,0.325803812264957
SZC,0.676588437321122,0.5712647444298821,0.8185446009389671,0.6729062138170591,0.803589376179934,0.3963168869791201
TER_L,0.611764705882353,0.4510166358595194,0.7113702623906706,0.5520361990950227,0.7224463957349136,0.25811458527320125
TOR,0.459375,0.2843273231622746,0.9855769230769231,0.4413347685683531,0.895765139116203,0.28525649029229605
WLU,0.6081342801807618,0.9003636363636364,0.5347732181425486,0.6710027100271003,0.739469670012606,0.3147239273636748
Z04O,0.6740102171136654,0.7730819245773732,0.6389038151531434,0.6996175345689909,0.7339797263046905,0.3578515679934971
ZOZLO,0.8179508890770534,0.8326585695006747,0.8714689265536724,0.8516218081435473,0.9122472259050894,0.6175211394525619
