features,tag,label,method,MCC_mean,MCC_std
manual,manual/raw,manual / raw,raw,0.852501607132335,0.0042724303485641
manual,manual/sitewise,manual / sitewise,sitewise,0.9753324318864731,0.002408377010885788
manual,manual/combat,manual / combat,combat,0.9732793173836392,0.0030339120727652423
manual,manual/neurocombat,manual / neurocombat,neurocombat,0.9727827990525212,0.0037988660665042393
manual,manual/covbat,manual / covbat,covbat,0.9296119671914754,0.0037683113993814484
dann,baseline,baseline (1L),raw,0.3074583036770167,0.00925487730216281
dann,baseline_2layer,baseline (2L),raw,0.4048828107001962,0.006089363205599246
dann,dann,DANN (1L),raw,0.17633541918089451,0.012328028160140513
dann,dann_2layer,DANN (2L),raw,0.36130427009690885,0.026030077813634263
dann,mtl,MTL (1L),raw,0.7453667847682449,0.03573521508814594
dann,mtl_2layer,MTL (2L),raw,0.7219793180923925,0.039553408950924226
