accuracy,precision,recall,f1-score,auc,mcc,hospital,method,n_calib,n_test,pca_var,n_features
0.8080568720379147,0.9218910585817061,0.8430451127819549,0.8807069219440353,0.8515363284448745,0.40531631284859476,AKS,raw,30,1266,none,2850
0.7868103166829905,0.5974193548387097,0.5758706467661692,0.5864471184293857,0.8049636721219049,0.443036818156864,ARCHDAM,raw,30,3063,none,2850
0.7002526847757422,0.4231366459627329,0.725699067909454,0.5345757724374693,0.7838084762070172,0.36198386108186853,B2K,raw,30,3166,none,2850
0.5225903614457831,0.9739413680781759,0.4917763157894737,0.653551912568306,0.7536712875939849,0.19447659485164676,CHE,raw,30,664,none,2850
0.8028169014084507,0.7714285714285715,0.574468085106383,0.6585365853658537,0.8694537762846833,0.5353146376974386,CMD,raw,30,426,none,2850
0.5714809384164223,0.9565527065527065,0.5479396164830681,0.696757457846952,0.7372029688022423,0.1980573339477982,GAK,raw,30,2728,none,2850
0.6230366492146597,0.4672364672364672,0.8497409326424871,0.6029411764705882,0.7931415325879465,0.34696145856124955,KAL,raw,30,573,none,2850
0.6148547469302186,0.3752653927813164,0.866421568627451,0.5237037037037037,0.8062627746302644,0.3465754232197892,KATMOJPRZ,raw,30,3339,none,2850
0.7414634146341463,0.7727272727272727,0.816,0.7937743190661478,0.8220000000000001,0.44925218062161393,KIEG,raw,30,205,none,2850
0.690537084398977,0.7916666666666666,0.6191011235955056,0.694829760403531,0.752909012102824,0.4025381026424804,KLU,raw,30,1564,none,2850
0.7448494453248812,0.7437722419928826,0.7013422818791947,0.7219343696027634,0.8177136868412035,0.4873014194331995,KUD,raw,30,631,none,2850
0.6905311778290993,0.5215686274509804,0.9172413793103448,0.665,0.8818486590038314,0.4734803231453175,LUMICE,raw,30,433,none,2850
0.7520864015709376,0.7738095238095238,0.6365614798694232,0.6985074626865672,0.8258753292156638,0.49812492137280895,LUX_A,raw,30,2037,none,2850
0.7534791252485089,0.7485549132947977,0.875,0.8068535825545171,0.8330558819689255,0.48292289606270167,MKW,raw,30,503,none,2850
0.7348484848484849,0.8727272727272727,0.7461139896373057,0.8044692737430168,0.80646573742976,0.4124659934736624,MOR,raw,30,264,none,2850
