mcc,accuracy,precision,recall,f1-score,auc,model,hospital,method,n_calib,n_test,pca_var,n_features
0.4911533952134822,0.7827210103329506,0.664968152866242,0.6313879649228908,0.6477431363424849,0.8263016952186797,catboost,H1,sitewise,30,10452,none,2850
0.4157428638905009,0.750613647520864,0.7093275488069414,0.4664764621968616,0.5628227194492255,0.8009526595880991,catboost,H10,sitewise,30,2037,none,2850
0.5243738726594169,0.7830303030303031,0.7637474541751528,0.6077795786061588,0.6768953068592057,0.8425727335058153,catboost,H11,sitewise,30,1650,none,2850
0.4364064496751126,0.7171717171717171,0.5069832402234636,0.7925764192139738,0.6183986371379898,0.8286103764145603,catboost,H12,sitewise,30,1584,none,2850
0.4935913876677586,0.7915601023017903,0.6042105263157894,0.6752941176470588,0.6377777777777778,0.819868821980065,catboost,H13,sitewise,30,1564,none,2850
0.386047849948107,0.7030015797788309,0.9184782608695652,0.6814516129032258,0.7824074074074074,0.8041190840593361,catboost,H14,sitewise,30,1266,none,2850
0.2358258307806115,0.6440816326530612,0.6363636363636364,0.3307086614173228,0.4352331606217616,0.6720258294073074,catboost,H15,sitewise,30,1225,none,2850
0.5534924785366391,0.7706342311033884,0.6176470588235294,0.8571428571428571,0.717948717948718,0.8623322846925331,catboost,H16,sitewise,30,1151,none,2850
0.5547320831670618,0.8005464480874317,0.6606683804627249,0.747093023255814,0.7012278308321964,0.8595359632348405,catboost,H17,sitewise,30,1098,none,2850
0.506481527611481,0.7595959595959596,0.7943037974683544,0.5919811320754716,0.6783783783783783,0.8080455363690913,catboost,H18,sitewise,30,990,none,2850
0.4799908181113856,0.7913978494623656,0.4809688581314879,0.7595628415300546,0.5889830508474576,0.8428541122596032,catboost,H19,sitewise,30,930,none,2850
0.4343264836140873,0.7183592893178329,0.7063303188957639,0.6899116689911668,0.6980244590780809,0.7918377220824433,catboost,H2,sitewise,30,4559,none,2850
0.2046402251740083,0.4759036144578313,0.8955223880597015,0.3550295857988165,0.5084745762711864,0.6970690586565158,catboost,H20,sitewise,30,664,none,2850
0.3872098519101609,0.7432646592709984,0.5911602209944752,0.5487179487179488,0.5691489361702128,0.7918725005880968,catboost,H21,sitewise,30,631,none,2850
0.4988670630323534,0.7888307155322862,0.5585106382978723,0.7342657342657343,0.6344410876132931,0.8309318588388355,catboost,H22,sitewise,30,573,none,2850
0.3645420036866137,0.679920477137177,0.7156862745098039,0.5863453815261044,0.6445916114790287,0.7706732441577334,catboost,H23,sitewise,30,503,none,2850
0.528329393337473,0.7958762886597938,0.7538461538461538,0.593939393939394,0.6644067796610169,0.8442424242424242,catboost,H24,sitewise,30,485,none,2850
0.4964888385787435,0.7598152424942263,0.5257142857142857,0.8141592920353983,0.6388888888888888,0.8580199115044248,catboost,H25,sitewise,30,433,none,2850
0.6045984508037255,0.8192488262910798,0.8292682926829268,0.6455696202531646,0.7259786476868327,0.8720007557150954,catboost,H26,sitewise,30,426,none,2850
0.5276280997717668,0.7513812154696132,0.6424870466321243,0.8551724137931035,0.7337278106508875,0.879008422056253,catboost,H27,sitewise,30,362,none,2850
0.3388778166343887,0.6931818181818182,0.6538461538461539,0.4857142857142857,0.5573770491803278,0.7707097933513027,catboost,H28,sitewise,30,264,none,2850
0.5617380598288075,0.7804878048780488,0.803921568627451,0.7663551401869159,0.784688995215311,0.8465573145145908,catboost,H29,sitewise,30,205,none,2850
0.3469694156800836,0.8415693321353699,0.412,0.4671201814058957,0.4378320935175345,0.7835194809462779,catboost,H3,sitewise,30,3339,none,2850
0.3676305178466522,0.6857142857142857,0.6212121212121212,0.6833333333333333,0.6507936507936508,0.7531249999999999,catboost,H30,sitewise,30,140,none,2850
0.4829005901929205,0.8104864181933038,0.5733830845771144,0.6420612813370473,0.6057818659658344,0.8455797012398274,catboost,H4,sitewise,30,3166,none,2850
0.3581322570911874,0.7001934235976789,0.5711892797319933,0.62,0.5945945945945946,0.7465979475070383,catboost,H5,sitewise,30,3102,none,2850
0.3600040101089095,0.6636245110821382,0.820853743876837,0.6018471010774756,0.69449378330373,0.7472776534424976,catboost,H6,sitewise,30,3068,none,2850
0.510467929618556,0.7969311132876266,0.6131078224101479,0.69377990430622,0.6509539842873177,0.8335848857969719,catboost,H7,sitewise,30,3063,none,2850
0.2079334186581088,0.6187683284457478,0.9829329962073324,0.6055295950155763,0.7493975903614458,0.7962641160436137,catboost,H8,sitewise,30,2728,none,2850
0.3164103215980685,0.6109860423232778,0.9137254901960784,0.5456674473067916,0.6832844574780058,0.7589362751140146,catboost,H9,sitewise,30,2221,none,2850
0.4609519142590735,0.7665518561040949,0.6305329719963866,0.6332022981554278,0.631864815932408,0.8126429866625134,catboost,H1,sitewise,30,10452,all,2850
0.4258036345320733,0.7496318114874816,0.6643717728055077,0.550641940085592,0.6021840873634945,0.7957056642777213,catboost,H10,sitewise,30,2037,all,2850
0.5237320782658751,0.7830303030303031,0.7833698030634574,0.580226904376013,0.6666666666666666,0.8440428579721696,catboost,H11,sitewise,30,1650,all,2850
0.4617915595463917,0.7790404040404041,0.618421052631579,0.6157205240174672,0.6170678336980306,0.8102860533480186,catboost,H12,sitewise,30,1584,all,2850
0.4052349879776075,0.7819693094629157,0.6372549019607843,0.4588235294117647,0.533515731874145,0.8100397665650985,catboost,H13,sitewise,30,1564,all,2850
0.357926137777828,0.6500789889415481,0.9295774647887324,0.5987903225806451,0.7283874923359902,0.7910326406875442,catboost,H14,sitewise,30,1266,all,2850
0.2389643218715826,0.6448979591836734,0.6237288135593221,0.3622047244094488,0.4582814445828144,0.6582792475208381,catboost,H15,sitewise,30,1225,all,2850
0.5726545527529181,0.7819287576020851,0.6317757009345795,0.8622448979591837,0.7292340884573895,0.87403538490495,catboost,H16,sitewise,30,1151,all,2850
0.5303669295049549,0.8014571948998178,0.696875,0.6482558139534884,0.6716867469879518,0.8528159891431745,catboost,H17,sitewise,30,1098,all,2850
0.4286949663997844,0.7181818181818181,0.8085106382978723,0.4481132075471698,0.5766312594840668,0.7579713647576506,catboost,H18,sitewise,30,990,all,2850
0.4684965827504743,0.7924731182795699,0.4820143884892086,0.73224043715847,0.5813449023861171,0.8532198008792913,catboost,H19,sitewise,30,930,all,2850
0.4350926998064722,0.7190173283614828,0.7205882352941176,0.6606229660622966,0.6893039049235993,0.7882917008391368,catboost,H2,sitewise,30,4559,all,2850
0.2186644014071067,0.5030120481927711,0.8933333333333333,0.3964497041420118,0.5491803278688525,0.6929484038744205,catboost,H20,sitewise,30,664,all,2850
0.4528975828069341,0.7828843106180665,0.75,0.4461538461538462,0.5594855305466238,0.7920371677252412,catboost,H21,sitewise,30,631,all,2850
0.4929919658425287,0.7905759162303665,0.56353591160221,0.7132867132867133,0.6296296296296297,0.8339730037404455,catboost,H22,sitewise,30,573,all,2850
0.3139581588407188,0.6540755467196819,0.6923076923076923,0.5421686746987951,0.6081081081081081,0.7542295164911615,catboost,H23,sitewise,30,503,all,2850
