model,method,auc_mean,auc_std,mcc_mean,mcc_std,accuracy_mean,accuracy_std,f1-score_mean,f1-score_std
catboost,raw,0.8038,0.0484,0.4145,0.0996,0.7135,0.1016,0.619,0.0913
catboost,sitewise,0.8059,0.0506,0.4302,0.1041,0.734,0.0767,0.6413,0.0853
catboost,combat,0.8092,0.0521,0.4351,0.1095,0.7301,0.0875,0.6406,0.0807
catboost,neurocombat,0.8093,0.0525,0.4351,0.1097,0.7317,0.0884,0.6396,0.0838
catboost,covbat,0.793,0.0526,0.4145,0.1068,0.7219,0.0819,0.6293,0.0809
logreg,raw,0.7705,0.0524,0.3741,0.0982,0.6949,0.0976,0.5923,0.091
logreg,sitewise,0.7686,0.0568,0.374,0.0949,0.7073,0.0827,0.5932,0.0829
logreg,combat,0.7767,0.0572,0.3895,0.1013,0.7128,0.0942,0.5947,0.0831
logreg,neurocombat,0.7772,0.0572,0.3871,0.1001,0.7129,0.092,0.5925,0.0852
logreg,covbat,0.7806,0.0577,0.3935,0.0998,0.7149,0.087,0.6037,0.0814
